002;Bangkok Bank
006;Krung Thai Bank
004;Kasikornbank
004;Thai Farmers Bank
014;The Siam Commercial Bank
025;Bank of Ayudhya
011;The Thai Military Bank
011;TMB Bank
011;TMBThanachart Bank Public Company Limited
015;The Siam City Bank
021;Bangkok Metropolitan Bank
024;Bank of Asia
024;United Overseas Bank (Thai)
024;United Overseas Bank (Thai) Company Ltd.
022;CIMB  THAI  Bank
012;DBS Thai Danu Bank
020;Standard Chartered Bank (Thai)
020;Standard Chartered Nakornthon Bank
019;UOB Radanasin Bank
010;The Bank of Tokyo-Mitsubishi
010;The Bank of Tokyo-Mitsubishi UFJ
017;Citibank
018;Sumitomo Mitsui Banking Corporation
018;The Sakura Bank
031;HONGKONG AND SHANGHAI BANKING CORPORATION
031;HSBC
032;Deutsche Bank AG.
007;Standard Chartered Bank
008;JP Morgan Chase Bank
008;The Chase Manhattan Bank
028;Calyon Corrorate and Investment Bank
028;Credit Agricole Corporate and Investment Bank
028;Credit Agricole Indosuez
027;Bank of America, National Association
029;Bharat Overseas Bank
029;Indian Overseas Bank
005;ABN-AMRO N.V.
005;The Royal Bank of Scotland N.V.
005;The Royal Bank of Scotland P.L.C.
026;The International Commercial Bank of China
023;RHB Bank Berhad
009;Oversea Chinese Banking Corporation
047;The Industrial Bank of Japan
046;The Sumitomo Bank
052;The Bank of China
039;Mizuho Bank
039;Mizuho Corporate Bank, Ltd.
039;The Dai-Ichi Kangyo Bank
040;Dresdner Bank AG.
053;The Bank of Novascotia
045;BNP Paribas
065;Thanachart Bank
003;The Bangkok Bank of Commerce
067;TISCO Bank
013;First Bangkok City Bank
026;Mega International Commercial Bank
026;The International Commercial Bank of China
041;Societe Generale Bangkok Branch
048;UFJ Bank
069;Kiatnakin Bank
069;Kiatnakin Phatra Bank
073;Land and Houses  Bank
073;Land and Houses Retail Bank
070;ACL Bank
070;Industrial and Commercial Bank of China (Thai)
072;GE Money Retail Bank
071;The Thai Credit Retail Bank
068;AIG Retail Bank
052;Bank of China (Thai)
079;ANZ Bank (Thai) Public Company Limited
080;Sumitomo Mitsui Trust Bank (Thai) 